"Year numeric",Gender,Age,Country,"New Zealand European",Maori,Samoan,"Cook Islands Maori",Tongan,Niuean,Chinese,Indian,"Other ethnicity",Height,"Left foot length","Travel method to school","Time standing on left leg",TV,Radio,"Print publications (newspapers/magazines)","News websites or apps","Social media like YouTube, Facebook, Twitter, or Instagram","Search through Google or other search engines",Podcasts,"Favourite animated movie","Feeling about learning at home vs school"
12,Male,16,"New Zealand",yes,no,no,no,no,no,no,no,,181,28.0,motor,200,rarely,never,never,sometimes,often,sometimes,rarely,"Happy Halloween, Scooby Doo!",muchworse
9,Male,14,"New Zealand",yes,no,no,no,no,no,no,no,,159,25.0,bike,88,sometimes,never,never,rarely,rarely,sometimes,,"Don't have one",aboutthesame
5,Male,9,"New Zealand",yes,no,no,no,no,no,no,no,,149,12.0,bike,400,often,,,,,,,"The Simpsons Movie",aboutthesame
5,Female,9,"South Africa",no,no,no,no,no,no,no,no,"South African",127,21.0,motor,41,never,never,never,rarely,often,rarely,,Abominable,muchworse
11,Male,15,"New Zealand",yes,no,no,no,no,no,no,no,,185,29.0,motor,19,rarely,never,never,never,often,never,never,"A Shaun the Sheep Movie: Farmageddon",aboutthesame
9,Female,13,"New Zealand",yes,no,no,no,no,no,no,no,,152,22.0,bus,55,rarely,often,rarely,sometimes,often,often,never,"Toy Story",muchbetter
8,Male,12,"New Zealand",yes,no,no,no,no,no,no,no,Filipino,162,22.0,motor,8,rarely,never,never,rarely,sometimes,rarely,never,"Don't have one",aboutthesame
8,Male,12,"New Zealand",no,no,no,yes,no,no,no,no,,171,15.0,bike,18,rarely,rarely,never,often,often,often,rarely,"Space Jam",muchworse
10,Male,14,"New Zealand",yes,yes,no,no,no,no,no,no,,178,26.0,bus,45,sometimes,never,never,rarely,often,sometimes,never,"Dragon Ball Super: Broly",better
7,Male,11,"New Zealand",yes,no,no,no,no,no,no,no,,168,27.5,skateboard,555,often,often,never,never,sometimes,rarely,never,"Don't have one",aboutthesame
9,Male,13,Australia,no,no,yes,no,no,no,no,no,,179,30.0,motor,160,never,never,never,never,rarely,never,never,"Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train",aboutthesame
6,Female,11,"New Zealand",yes,no,no,no,no,no,no,no,,150,23.0,bus,52,sometimes,sometimes,never,never,never,sometimes,never,"Cloudy with a Chance of Meatballs 2",muchbetter
9,Male,13,"New Zealand",yes,no,no,no,no,no,no,no,,174,26.0,motor,93,rarely,sometimes,never,never,sometimes,never,never,"Spider-Man: Into the Spider-Verse",better
11,Female,15,"New Zealand",yes,no,no,no,no,no,no,no,,169,24.0,motor,14,sometimes,often,never,rarely,,often,rarely,Shrek,worse
9,Male,14,"New Zealand",yes,no,no,no,no,no,no,no,,149,21.0,motor,2,often,sometimes,never,sometimes,often,often,rarely,"Don't have one",aboutthesame
10,Male,14,"New Zealand",yes,no,no,no,no,no,no,no,,174,24.0,motor,9,rarely,sometimes,sometimes,often,often,often,often,"Howl's Moving Castle",better
8,Female,12,"New Zealand",yes,no,no,no,no,no,no,no,,148,22.0,walk,85,sometimes,never,never,sometimes,often,rarely,rarely,"Don't have one",muchbetter
10,Female,15,"New Zealand",yes,no,no,no,no,no,no,no,,165,23.0,bus,26,sometimes,rarely,rarely,sometimes,often,often,never,"The Lion King",aboutthesame
11,Male,15,"New Zealand",yes,no,no,no,no,no,no,no,,183,26.0,bus,90,often,never,never,never,rarely,often,never,"Your name.",muchworse
7,Female,12,"New Zealand",yes,yes,no,no,no,no,no,no,,155,23.6,motor,26,often,sometimes,never,never,never,never,never,"Don't have one",worse
9,Female,14,"United States of America",yes,no,no,no,no,no,no,no,,170,24.0,motor,20,never,never,rarely,sometimes,often,rarely,never,Bolt,aboutthesame
